project,floor,room,x0,x1,y0,y1
Bhavisha Casa Life,GF,Living,0,162.0,0.0,87.5
Bhavisha Casa Life,GF,Kitchen,0,109.0,87.5,175.0
Bhavisha Casa Life,GF,Utility,0,22.5,175.0,284.0
Bhavisha Casa Life,GF,Parking,0,147.5,284.0,426.5
Bhavisha Casa Life,GF,Bedroom 1,0,131.0,426.5,533.5
Bhavisha Casa Life,GF,Attd. Toilet 1,0,71.0,533.5,584.5
Bhavisha Casa Life,GF,Dress 1,0,71.0,584.5,617.5
Bhavisha Casa Life,1F,Bedroom 2,0,131.0,0.0,143.0
Bhavisha Casa Life,1F,Attd. Toilet 2,0,71.0,143.0,194.0
Bhavisha Casa Life,1F,Dress 2,0,57.0,194.0,244.0
Bhavisha Casa Life,1F,Balcony,0,33.0,244.0,387.0
Bhavisha Casa Life,1F,Bedroom 3,0,107.5,387.0,482.0
Bhavisha Casa Life,1F,Dress 3,0,52.5,482.0,552.0
Bhavisha Casa Life,1F,Attd. Toilet 3,0,52.0,552.0,622.0
Bhavisha Casa Life,1F,Family Room,0,100.0,622.0,714.5
Bhavisha Casa Life,1F,Sit Out,0,60.0,714.5,842.0
Bhavisha Casa Life,2F,Bedroom 4,0,131.0,0.0,143.0
Bhavisha Casa Life,2F,Attd. Toilet 4,0,71.0,143.0,194.0
Bhavisha Casa Life,2F,Wash Area & C. Toilet,0,58.0,194.0,244.0
Bhavisha Casa Life,2F,Bar Counter,0,100.0,244.0,336.5
Bhavisha Casa Life,2F,Terrace,0,225.0,336.5,464.0
Saiven Mulberry Groves,GF,Living Room,0,163.29999999999998,0.0,142.5
Saiven Mulberry Groves,GF,Kitchen,0,115.0,142.5,247.5
Saiven Mulberry Groves,GF,Dining,0,115.0,247.5,400.0
Saiven Mulberry Groves,GF,Utility,0,60.0,400.0,483.3
Saiven Mulberry Groves,GF,Powder,0,60.0,483.3,525.8
Saiven Mulberry Groves,GF,Parking,0,147.5,525.8,668.3
Saiven Mulberry Groves,GF,Garden 1,0,60.0,668.3,875.0
Saiven Mulberry Groves,GF,Garden 2,0,42.5,875.0,952.5
Saiven Mulberry Groves,1F,Bedroom 1,0,110.0,0.0,150.0
Saiven Mulberry Groves,1F,Toilet 1,0,84.2,150.0,200.0
Saiven Mulberry Groves,1F,Toilet 2,0,84.2,200.0,250.0
Saiven Mulberry Groves,1F,Bedroom 2,0,160.0,250.0,353.3
Saiven Mulberry Groves,1F,Family,0,110.0,353.3,503.3
Saiven Mulberry Groves,1F,Balcony 1,0,37.5,503.3,653.3
Saiven Mulberry Groves,1F,Balcony 2,0,37.5,653.3,756.5999999999999
Saiven Mulberry Groves,2F,Bedroom 3,0,110.0,0.0,150.0
Saiven Mulberry Groves,2F,Walk-in,0,110.0,150.0,200.0
Saiven Mulberry Groves,2F,Toilet 3,0,110.0,200.0,250.0
Saiven Mulberry Groves,2F,Study,0,60.0,250.0,360.0
Saiven Mulberry Groves,2F,Terrace,0,9.200000000000001,360.0,620.0
NCC Urban Green Province,GF,Parents/Guest Bedroom,0,133.3,0.0,122.5
NCC Urban Green Province,GF,Toilet,0,57.5,122.5,199.2
NCC Urban Green Province,GF,Utility,0,145.0,199.2,261.7
NCC Urban Green Province,GF,Kitchen,0,151.7,261.7,384.2
NCC Urban Green Province,GF,Deck,0,41.7,384.2,564.2
NCC Urban Green Province,GF,Living/Dining,0,212.5,564.2,705.9000000000001
NCC Urban Green Province,GF,Drawing Room,0,137.5,705.9000000000001,847.6000000000001
NCC Urban Green Province,1F,Master Bedroom,0,133.3,0.0,180.0
NCC Urban Green Province,1F,Toilet 1,0,80.0,180.0,264.2
NCC Urban Green Province,1F,Dress 1,0,47.5,264.2,348.4
NCC Urban Green Province,1F,Children Bedroom,0,151.7,348.4,500.09999999999997
NCC Urban Green Province,1F,Toilet 2,0,57.5,500.09999999999997,586.8
NCC Urban Green Province,1F,Dress 2,0,72.5,586.8,644.3
NCC Urban Green Province,1F,Family Room,0,217.5,644.3,756.8
NCC Urban Green Province,1F,Balcony,0,74.2,756.8,870.0999999999999
NCC Urban Green Province,2F,Theatre/Gym,0,133.3,0.0,205.0
NCC Urban Green Province,2F,Toilet,0,133.3,205.0,262.5
NCC Urban Green Province,2F,Lobby,0,72.5,262.5,408.3
