project,floor,room,x0,x1,y0,y1,length,breadth,area_sqft
Bhavisha Casa Life,GF,Living,0,162,0,87.5,162,87.5,14175
Bhavisha Casa Life,GF,Kitchen,0,109,87.5,175,109,87.5,9537.5
Bhavisha Casa Life,GF,Utility,0,22.5,175,284,22.5,109,2452.5
Bhavisha Casa Life,GF,Parking,0,147.5,284,426.5,147.5,142.5,21018.75
Bhavisha Casa Life,GF,Bedroom 1,0,131,426.5,533.5,131,107,14017
Bhavisha Casa Life,GF,Attd. Toilet 1,0,71,533.5,584.5,71,51,3621
Bhavisha Casa Life,GF,Dress 1,0,71,584.5,617.5,71,33,2343
Bhavisha Casa Life,1F,Bedroom 2,0,131,0,143,131,143,18733
Bhavisha Casa Life,1F,Attd. Toilet 2,0,71,143,194,71,51,3621
Bhavisha Casa Life,1F,Dress 2,0,57,194,244,57,50,2850
Bhavisha Casa Life,1F,Balcony,0,33,244,387,33,143,4719
Bhavisha Casa Life,1F,Bedroom 3,0,107.5,387,482,107.5,95,10212.5
Bhavisha Casa Life,1F,Dress 3,0,52.5,482,552,52.5,70,3675
Bhavisha Casa Life,1F,Attd. Toilet 3,0,52,552,622,52,70,3640
Bhavisha Casa Life,1F,Family Room,0,100,622,714.5,100,92.5,9250
Bhavisha Casa Life,1F,Sit Out,0,60,714.5,842,60,127.5,7650
Bhavisha Casa Life,2F,Bedroom 4,0,131,0,143,131,143,18733
Bhavisha Casa Life,2F,Attd. Toilet 4,0,71,143,194,71,51,3621
Bhavisha Casa Life,2F,Wash Area & C. Toilet,0,58,194,244,58,50,2900
Bhavisha Casa Life,2F,Bar Counter,0,100,244,336.5,100,92.5,9250
Bhavisha Casa Life,2F,Terrace,0,225,336.5,464,225,127.5,28687.5
Saiven Mulberry Groves,GF,Living Room,0,163.3,0,142.5,163.3,142.5,23270.25
Saiven Mulberry Groves,GF,Kitchen,0,115,142.5,247.5,115,105,12075
Saiven Mulberry Groves,GF,Dining,0,115,247.5,400,115,152.5,17537.5
Saiven Mulberry Groves,GF,Utility,0,60,400,483.3,60,83.3,4998
Saiven Mulberry Groves,GF,Powder,0,60,483.3,525.8,60,42.5,2550
Saiven Mulberry Groves,GF,Parking,0,147.5,525.8,668.3,147.5,142.5,21018.75
Saiven Mulberry Groves,GF,Garden 1,0,60,668.3,875,60,206.7,12402
Saiven Mulberry Groves,GF,Garden 2,0,42.5,875,952.5,42.5,77.5,3293.75
Saiven Mulberry Groves,1F,Bedroom 1,0,110,0,150,110,150,16500
Saiven Mulberry Groves,1F,Toilet 1,0,84.2,150,200,84.2,50,4210
Saiven Mulberry Groves,1F,Toilet 2,0,84.2,200,250,84.2,50,4210
Saiven Mulberry Groves,1F,Bedroom 2,0,160,250,353.3,160,103.3,16528
Saiven Mulberry Groves,1F,Family,0,110,353.3,503.3,110,150,16500
Saiven Mulberry Groves,1F,Balcony 1,0,37.5,503.3,653.3,37.5,150,5625
Saiven Mulberry Groves,1F,Balcony 2,0,37.5,653.3,756.6,37.5,103.3,3873.75
Saiven Mulberry Groves,2F,Bedroom 3,0,110,0,150,110,150,16500
Saiven Mulberry Groves,2F,Walk-in,0,110,150,200,110,50,5500
Saiven Mulberry Groves,2F,Toilet 3,0,110,200,250,110,50,5500
Saiven Mulberry Groves,2F,Study,0,60,250,360,60,110,6600
Saiven Mulberry Groves,2F,Terrace,0,9.2,360,620,9.2,260,2392
NCC Urban Green Province,GF,Bedroom 1,0,133.3,0,122.5,133.3,122.5,16329.25
NCC Urban Green Province,GF,Toilet 1,0,57.5,122.5,199.2,57.5,76.7,4410.25
NCC Urban Green Province,GF,Utility,0,145,199.2,261.7,145,62.5,9062.5
NCC Urban Green Province,GF,Kitchen,0,151.7,261.7,384.2,151.7,122.5,18583.25
NCC Urban Green Province,GF,Deck,0,41.7,384.2,564.2,41.7,180,7506
NCC Urban Green Province,GF,Living/Dining,0,212.5,564.2,705.9,212.5,141.7,30111.25
NCC Urban Green Province,GF,Drawing Room,0,137.5,705.9,847.6,137.5,141.7,19483.75
NCC Urban Green Province,1F,Bedroom 2,0,133.3,0,180,133.3,180,23994
NCC Urban Green Province,1F,Toilet 2,0,80,180,264.2,80,84.2,6736
